symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2011-01-18 00:00:00+00:00,25.64,25.64,24.75,25.48,1621700,1.7093333333,1.7093333333,1.65,1.6986666667,24325500,0.0,1.0
TSLA,2011-01-19 00:00:00+00:00,24.03,25.47,23.75,25.27,2371500,1.602,1.698,1.5833333333,1.6846666667,35572500,0.0,1.0
TSLA,2011-01-20 00:00:00+00:00,22.62,24.45,22.37,24.03,2279900,1.508,1.63,1.4913333333,1.602,34198500,0.0,1.0
TSLA,2011-01-21 00:00:00+00:00,23.04,23.59,22.71,23.12,1217000,1.536,1.5726666667,1.514,1.5413333333,18255000,0.0,1.0
TSLA,2011-01-24 00:00:00+00:00,24.49,24.81,23.23,23.53,1645100,1.6326666667,1.654,1.5486666667,1.5686666667,24676500,0.0,1.0
TSLA,2011-01-25 00:00:00+00:00,24.68,24.89,24.02,24.65,1271500,1.6453333333,1.6593333333,1.6013333333,1.6433333333,19072500,0.0,1.0
TSLA,2011-01-26 00:00:00+00:00,24.75,24.88,24.1,24.71,1079900,1.65,1.6586666667,1.6066666667,1.6473333333,16198500,0.0,1.0
TSLA,2011-01-27 00:00:00+00:00,24.92,25.08,24.53,24.74,895700,1.6613333333,1.672,1.6353333333,1.6493333333,13435500,0.0,1.0
TSLA,2011-01-28 00:00:00+00:00,24.01,24.88,23.75,24.88,1048400,1.6006666667,1.6586666667,1.5833333333,1.6586666667,15726000,0.0,1.0
TSLA,2011-01-31 00:00:00+00:00,24.1,24.12,23.5,24.05,830300,1.6066666667,1.608,1.5666666667,1.6033333333,12454500,0.0,1.0
TSLA,2011-02-01 00:00:00+00:00,23.91,24.73,23.54,24.31,707800,1.594,1.6486666667,1.5693333333,1.6206666667,10617000,0.0,1.0
TSLA,2011-02-02 00:00:00+00:00,23.94,24.18,23.669,24.16,569500,1.596,1.612,1.5779333333,1.6106666667,8542500,0.0,1.0
TSLA,2011-02-03 00:00:00+00:00,23.63,23.9,23.15,23.82,512000,1.5753333333,1.5933333333,1.5433333333,1.588,7680000,0.0,1.0
